From	Entry
TNNT3	P45378
SALL4	Q9UJQ4
NSMF	Q6X4W1
LTBP1	Q14766
FSHR	P23945
HELLS	Q9NRZ9
ATRX	P46100
SPINK5	Q9NQ38
COMT	P21964
PDGFRB	P09619
UFSP2	Q9NUQ7
GNRH1	P01148
LSS	P48449
FUT8	Q9BYC5
IFT27	Q9BW83
ATM	Q13315
SCNN1G	P51170
ATRIP	Q8WXE1
DCHS1	Q96JQ0
HUWE1	Q7Z6Z7
SET	Q01105
COG4	Q9H9E3
CEP135	Q66GS9
LMX1B	O60663
CDKN1A	P38936
RLIM	Q9NVW2
CERS3	Q8IU89
PRKG1	Q13976
GUSB	P08236
FGF17	O60258
BBS4	Q96RK4
ZPR1	O75312
UROS	P10746
EHMT1	Q9H9B1
KDM3B	Q7LBC6
SHANK3	Q9BYB0
DACT1	Q9NYF0
SDHC	Q99643
HSD17B4	P51659
FMR1	Q06787
SUCLA2	Q9P2R7
PHGDH	O43175
MAN1B1	Q9UKM7
ITCH	Q96J02
FAM20A	Q96MK3
CYP4F22	Q6NT55
RPL10	P27635
THPO	P40225
LMBR1	Q8WVP7
DSTYK	Q6XUX3
CTNND2	Q9UQB3
LTBP2	Q14767
RPS26	P62854
CACNA1B	Q00975
FANCD2	Q9BXW9
BBS12	Q6ZW61
PYCR2	Q96C36
EHHADH	Q08426
DMXL2	Q8TDJ6
THG1L	Q9NWX6
ARID1B	Q8NFD5
IQSEC1	Q6DN90
SIK3	Q9Y2K2
TRHR	P34981
GTF2IRD1	Q9UHL9
PAPSS2	O95340
GNS	P15586
SMARCA4	P51532
POC1A	Q8NBT0
KISS1	Q15726
SLC19A2	O60779
GZF1	Q9H116
FAM50A	Q14320
CDKN2B	P42772
NFE2L2	Q16236
MYCN	P04198
WDPCP	O95876
RPL27	P61353
MYMK	A6NI61
NDUFA4	O00483
AIFM1	O95831
IQSEC2	Q5JU85
SLX4	Q8IY92
PPARG	P37231
ABCB6	Q9NP58
UBR1	Q8IWV7
STS	P08842
SZT2	Q5T011
RFC2	P35250
TBL2	Q9Y4P3
GRHL2	Q6ISB3
PPFIBP1	Q86W92
PUS7	Q96PZ0
NOG	Q13253
NEPRO	Q6NW34
LHCGR	P22888
TAC3	Q9UHF0
KCNMA1	Q12791
AGA	P20933
CTSA	P10619
KCNAB2	Q13303
PARS2	Q7L3T8
SEMA3C	Q99985
WDR62	O43379
NELFA	Q9H3P2
HMGA2	P52926
CYB5A	P00167
ADAMTSL2	Q86TH1
STX1A	Q16623
RPL5	P46777
VDR	P11473
NPAP1	Q9NZP6
ESS2	Q96DF8
NIPBL	Q6KC79
SMG9	Q9H0W8
USF3	Q68DE3
YWHAE	P62258
SLC35A2	P78381
NR5A1	Q13285
CCDC134	Q9H6E4
NPHP4	O75161
TOGARAM1	Q9Y4F4
GJB4	Q9NTQ9
TSR2	Q969E8
RAB33B	Q9H082
SMC3	Q9UQE7
NCAPD2	Q15021
HERC1	Q15751
KIF15	Q9NS87
ARL6	Q9H0F7
IL6ST	P40189
INTS1	Q8N201
SF3B4	Q15427
RASA2	Q15283
SNAP29	O95721
SMOC1	Q9H4F8
ZSWIM7	Q19AV6
PLOD2	O00469
CAMK2B	Q13554
NR2F1	P10589
INTU	Q9ULD6
CA8	P35219
TPM3	P06753
BBS7	Q8IWZ6
KDSR	Q06136
FANCL	Q9NW38
BBS9	Q3SYG4
HPGD	P15428
LEPR	O15243
LEPR	P48357
MYH11	P35749
MTOR	P42345
RPL35	P42766
VPS33B	Q9H267
LRP4	O75096
PGM1	P36871
OTUD5	Q96G74
PAX6	P26367
COX4I1	P13073
CYP2R1	Q6VVX0
NUS1	Q96E22
RYR1	P21817
DIS3L2	Q8IYB7
SLC1A2	P43004
ALG9	Q9H6U8
GHRHR	Q02643
SLC34A3	Q8N130
GMPPA	Q96IJ6
RAD51	Q06609
UFD1	Q92890
ARID2	Q68CP9
PIGN	O95427
GNA11	P29992
SIX5	Q8N196
RPGRIP1	Q96KN7
LAMB3	Q13751
TXNDC15	Q96J42
B9D1	Q9UPM9
B9D2	Q9BPU9
TCTN2	Q96GX1
B4GAT1	O43505
FRAS1	Q86XX4
CHRM3	P20309
TMEM107	Q6UX40
INPP5E	Q10713
INPP5E	Q9NRR6
ACTG2	P63267
ARL3	P36405
LMOD1	P29536
SF3B2	Q13435
WNT3	P56703
SPOP	O43791
TCTN1	Q2MV58
FREM2	Q5SZK8
TMEM231	Q9H6L2
ARL6IP6	Q8N6S5
GRIP1	Q96DT0
GRIP1	Q9Y3R0
RPGRIP1L	Q68CZ1
LAMC2	Q13753
TMEM237	Q96Q45
GREB1L	Q9C091
SIX1	Q15475
LAMA3	Q16787
CC2D2A	Q9P2K1
LIG1	P18858
LIG1	Q96JA1
RSPO2	Q6UXX9
RELN	P78509
MICAL1	Q8TDZ2
LGI1	O95970
PRIMPOL	Q96LW4
SPINK1	P00995
KITLG	P21583
CACNA1S	Q13698
KIF2A	O00139
CACNA1E	Q15878
PKLR	P30613
MECOM	Q03112
PHF21A	Q96BD5
ADCY5	O95622
B2M	P61769
GJB2	P29033
HSPB1	P04792
RARB	P10826
MUC7	Q8TAX7
BAG3	O95817
NEFH	P12036
CNGA1	P29973
GNE	Q9Y223
KCNQ5	Q9NR82
GBF1	Q92538
CHRNA1	P02708
DNASE1	P24855
POMP	Q9Y244
TCF12	Q99081
CFB	P00751
TNNI3	P19429
TBK1	Q9UHD2
SLC25A4	P12235
FBXW11	Q9UKB1
DNMT1	P26358
ITM2B	Q9Y287
MED13	Q9UHV7
SCN2A	Q99250
KCNN3	Q9UGI6
CNBP	P62633
RAC2	P15153
LRAT	O95237
GUCY2C	P25092
HSF4	Q9ULV5
SPTB	P11277
UNC119	Q13432
HNRNPR	O43390
KCNJ11	Q14654
PDGFB	P01127
IMPG1	Q17R60
TIMP3	P35625
PKD1	P98161
PKD1	Q15139
CFHR1	Q03591
GNAQ	P50148
PDCD10	Q9BUL8
MITF	O75030
SLC26A8	Q96RN1
SMAD9	O15198
HNF1A	P20823
VPS4A	Q9UN37
RYR2	Q92736
SMCHD1	A6NHR9
PRKAG2	Q9UGJ0
REST	Q13127
TNC	P24821
BMPR2	Q13873
CHMP2B	Q9UQN3
LYZ	P61626
PSMD12	O00232
MLLT10	P55197
COL4A1	P02462
NFKB2	Q00653
MAFB	Q9Y5Q3
BLK	P51451
SLC3A1	Q07837
HABP2	Q14520
NLRP12	P59046
DRD4	P21917
SLC1A3	P43003
HTR2A	P28223
FOXN1	O15353
CST3	P01034
NOBOX	O60393
JAK2	O60674
ITPR1	Q14643
GUCA1B	Q9UMX6
BAP1	Q92560
BAP1	Q96QZ7
BAP1	Q99496
KCNN4	O15554
OTULIN	Q96BN8
ATN1	P54259
ANXA11	P50995
KIF1B	O60333
KCNQ4	P56696
LRP6	O75581
COL4A3	Q01955
CLCN2	P51788
RNF43	Q68DV7
ATP2A2	P16615
GNB1	P62873
HBB	P68871
CDH2	P19022
BICD2	Q8TD16
FGF9	P31371
EPAS1	Q99814
SLC6A6	P31641
SETD1B	Q9UPS6
PTCH2	Q9Y6C5
SOX10	P56693
KRT1	P04264
ARL2	P36404
KRT17	Q04695
ALX4	Q9H161
DCC	P43146
KLF13	Q9Y2Y9
TOR1A	O14656
ARFGEF1	Q9Y6D6
CAV3	P56539
KCTD1	Q719H9
DRD5	P21918
CHAMP1	Q96JM3
AMTN	Q6UX39
PIGT	Q969N2
RHO	P08100
NUP214	P35658
SYT1	P21579
ZFP57	Q9NU63
CAPN5	O15484
CRELD1	Q96HD1
MFN2	O95140
TCF4	P15884
TCF4	Q9NQB0
SLC30A2	Q9BRI3
SERPINC1	P01008
APCDD1	Q8J025
MYOF	Q9NZM1
SEMA6B	Q9H3T3
CACNA1G	O43497
PTPN12	Q05209
UMOD	P07911
PIKFYVE	Q9Y2I7
CDH1	P12830
CDH1	Q9UM11
THRB	P10828
FBLN1	P23142
HSPB3	Q12988
APOE	P02649
BFSP2	Q13515
MAPT	P10636
SNCA	P37840
TNPO2	O14787
PURA	Q00577
WDR37	Q9Y2I8
HSPB8	Q9UJY1
CYP2A6	P11509
ATXN1	P54253
TUBB2A	Q13885
VKORC1	Q9BQB6
TUBA8	Q9NY65
POLR1B	Q9H9Y6
ANKH	Q9HCJ1
SQSTM1	Q13501
VCL	P18206
MAPKAPK3	Q16644
RABL3	Q5HYI8
MLH1	P40692
TUBA4A	P68366
NR3C2	P08235
RHBDF2	Q6PJF5
BTNL2	Q9UIR0
TRAF7	Q6Q0C0
WASF1	Q92558
ACTC1	P68032
MYH2	Q9UKX2
KRT5	P13647
PRNP	F7VJQ1
PRNP	P04156
VANGL1	Q8TAA9
NSF	P46459
SOX6	P35712
NAGLU	P54802
HBG2	P69892
AIRE	O43918
OPN1SW	P03999
FLNC	Q14315
SNRNP200	O75643
MAT1A	Q00266
TLL1	O43897
BMS1	Q14692
ADGRE2	Q9UHX3
PAX9	P55771
NR2F2	P24468
THRA	P10827
KIF5A	Q12840
UBAP1	Q9NZ09
YEATS2	Q9ULM3
ITGB3	P05106
CYLD	Q9NQC7
TRIO	O75962
VANGL2	Q9ULK5
FLT4	P35916
REEP1	Q9H902
PNKD	Q8N490
ROM1	Q03395
SP6	Q3SY56
NEUROD1	Q13562
KCNA1	Q09470
PHIP	Q8WWQ0
CNOT3	O75175
STARD7	Q9NQZ5
FCGR2B	P31994
PDE1C	Q14123
TRPM4	Q8TD43
KAT5	Q92993
EPB41	P11171
DZIP1	Q86YF9
CREB3L3	Q68CJ9
FGF14	Q92915
KRT2	P35908
PRSS1	P07477
TNF	P01375
EPHB4	P54760
KMT5B	Q4FZB7
KRT6C	P48668
SIK1	P57059
IL6	P05231
LDB3	O75112
AVP	P01185
EGR2	P11161
SETX	Q7Z333
WAC	Q9BTA9
SYNE2	Q8WXH0
CDK4	P11802
ADCY10	Q96PN6
SATB1	Q01826
TUBB6	Q9BUF5
TSHZ1	Q6ZSZ6
COQ2	Q96H96
HFE	Q30201
SNAI2	O43623
KRT4	P19013
POGLUT1	Q8NBL1
TGFBI	Q15582
CPOX	P36551
SLC22A18	Q96BI1
TNFRSF13B	O14836
TNFRSF1A	P19438
PLEKHM1	Q9Y4G2
IRF6	O14896
GLUD2	P49448
PRDX3	P30048
MEF2A	Q02078
NRIP1	P48552
UQCRC1	P31930
FOXC2	Q99958
GDF6	Q6KF10
SPTLC2	O15270
KRT74	Q7RTS7
MSX2	P35548
JAG1	P78504
GRIN2B	Q13224
EPCAM	P16422
HCRT	O43612
CDKN2A	P42771
CDKN2A	Q8N726
KCNE3	Q9Y6H6
HLA-G	P17693
EYA4	O95677
AP1S3	Q96PC3
ZNF644	Q9H582
PAX3	P23760
ZFHX2	Q9C0A1
GRHL3	Q8TE85
PLIN1	O60240
POT1	Q9NUX5
SOX18	P35713
RNF170	Q96K19
KRT81	Q14533
GFAP	P14136
RPL21	P46778
MYH6	P13533
ABCC8	Q09428
KLHL24	Q6TFL4
AIPL1	Q9NZN9
SRP72	O76094
DYNC1H1	Q14204
SCN1A	P35498
CORIN	Q9Y5Q5
DNM2	P50570
NOP56	O00567
CDH23	Q9H251
KIT	P10721
GCK	P35557
GCK	Q12851
SAMD9L	Q8IVG5
CCDC78	A2IDD5
KIDINS220	Q9ULH0
TCF7L2	Q9NQB0
RAC1	P63000
TFG	Q92734
CARD11	Q9BXL7
IL31RA	Q8NI17
SMARCC2	Q8TAQ2
UROD	P06132
PDGFRL	Q15198
LITAF	Q99732
MCM6	Q14566
DNAJB6	O75190
EPHX2	P34913
TNPO3	Q9Y5L0
OPTN	Q96CV9
NOS3	P29474
NOS3	P60323
KCNE1	P15382
ETV6	P41212
MSH2	P43246
MPO	P05164
DYRK1B	Q9Y463
COL17A1	Q9UMD9
CSRP3	P50461
ALDH2	P05091
ENG	P17813
CRYGC	P07315
BMP6	P22004
RORB	Q92753
ANLN	Q9NQW6
CACNB4	O00305
INS	P01308
KCNK3	O14649
CDC73	Q6P1J9
HMBS	P08397
NOVA2	Q9UNW9
COL8A2	P25067
CTRC	Q99895
GIGYF2	Q6Y7W6
TRPC3	Q13507
DMPK	Q09013
MET	P08581
MET	Q9NWH9
PPP2CA	P67775
TUBB1	Q9H4B7
HOXA11	P31270
RIPOR2	Q9Y4F9
CACNA1C	Q13936
GNB4	Q9HAV0
RDH5	Q92781
ABCA7	Q8IZY2
PRPH2	P23942
METTL13	Q8N6R0
CTNNA1	P35221
BARD1	Q99728
CFAP43	Q8NDM7
ABCC9	O60706
SLC7A9	P82251
IFNG	P01579
SETD5	Q9C0A6
FRMD5	Q7Z6J6
HOXA13	P31271
ELANE	P08246
ANO3	Q9BYT9
MYL2	P10916
KCNE2	Q9Y6J6
KRT6B	P04259
AP2S1	P53680
SOX17	Q9H6I2
DCAF8	Q5TAQ9
TPH2	Q8IWU9
CHD3	Q12873
PPP1R12A	O14974
GRIK2	Q13002
GRIK2	Q16478
MYOT	Q9UBF9
SH3GL1	Q99961
ICOS	Q9Y6W8
STXBP1	P61764
KIF21A	Q7Z4S6
JPH3	Q8WXH2
PRPH	P23942
PRPH	P41219
PANK4	Q9NVE7
FXYD2	P54710
SH3BP2	P78314
EPB41L1	Q9H4G0
TTR	P02766
KCNN2	Q9H2S1
ALG10B	Q5I7T1
CHEK2	O96017
PPP2R5D	Q14738
PRKN	O60260
PPP2R1B	P30154
RIPK1	Q13546
RNF2	Q99496
GPHN	Q9NQX3
MYH14	Q7Z406
FUS	P35637
PMP22	Q01453
PMP22	Q9NR77
NF2	P35240
RAPGEF2	Q9Y4G8
ACTN2	P35609
TICAM1	Q8IUC6
TMEM43	Q9BTV4
STK11	Q15831
UNC45B	Q8IWX7
NTN1	O95631
CEBPA	P49715
SH2B3	Q9UQQ2
IRF8	Q02556
CPA6	Q8N4T0
RPA1	P27694
CHCHD2	Q9Y6H1
PLS1	Q14651
MDM4	O15151
PAX4	O43316
FSCN2	O14926
CFI	P05156
SLC20A2	Q08357
EIF4G1	Q04637
KCNT1	Q5JUK3
TIMELESS	Q9UNS1
MYOCD	Q8IZQ8
SLFN14	P0C7P3
NOTCH1	P46531
GATA5	Q9BWX5
PNPT1	Q8TCS8
THBD	P07204
ASB10	Q8WXI3
PITX3	O75364
TRIM8	Q9BZR9
SLC12A2	P55011
CELA2A	P08217
BEST1	O76090
FAM111B	Q6SJ93
SCN5A	Q14524
APP	P05067
TET3	O43151
RAX2	Q96IS3
EIF2AK1	Q9BQI3
PERP	Q96FX8
TLR3	O15455
TBX20	Q9UMR3
CASQ1	P31415
PMVK	Q15126
MYH9	P35579
XPR1	Q9UBH6
NLGN1	Q8N2Q7
SLC30A8	Q8IWU4
MIP	P30301
MIP	Q8WZ33
MIP	Q99797
SGCE	O43556
MED12L	Q86YW9
SSBP1	Q04837
RTN2	O75298
SMAD6	O43541
ASXL2	Q76L83
ARMC5	Q96C12
SOCS1	O15524
SPRY2	O43597
AP1G1	O43747
RALA	P11233
IMPDH1	P20839
POU3F3	P20264
SRC	P12931
AGO2	Q9UKV8
GREM2	Q9H772
SH3TC2	Q8TF17
CTNND1	O60716
MYOC	Q99972
SLC12A5	Q9H2X9
GATA6	Q92908
IRF1	P10914
CCNF	P41002
NUDT15	Q9NV35
DNAJB11	Q9UBS4
FOXL2	P58012
WFS1	O76024
APPL1	Q9UKG1
SLC4A11	Q8NBS3
HNRNPDL	O14979
DLX3	O60479
MBL2	P11226
MME	P08473
SMARCD1	Q96GM5
CRYBA4	P53673
EPS8L3	Q8TE67
CRYBB2	P43320
APOB	P04114
VWF	P04275
SCO2	O43819
ELP1	O95163
TNNC1	P19429
TNNC1	P63316
MYBPC1	Q00872
VAMP1	P23763
TSPAN12	O95859
GJC2	Q5T442
RANBP2	P49792
NOL3	O60936
PMS1	P54277
KDM4B	O94953
ENAM	Q9NRM1
SPTBN1	Q01082
GDAP1	Q8TB36
CFHR3	Q02985
ADH1C	P00326
CALM1	P0DP23
KMT2E	Q8IZD2
MPZ	P25189
DDX41	Q9UJV9
SLC6A1	P30531
PKP2	Q99959
CCDC88C	Q9P219
PROM1	O43490
DES	P17661
KRT14	P02533
DSG2	Q14126
P2RX2	Q9UBL9
DIAPH3	Q9NSV4
ABCC6	O95255
ZMYND11	Q15326
ATL3	Q6DD88
ABCC1	P33527
MYBPC3	Q14896
FGA	P02671
GP1BA	P07359
CNOT2	Q9NZN8
SERPING1	P05155
SCN9A	Q15858
MEFV	O15553
MS4A2	Q01362
FOXC1	Q12948
RGR	P47804
RGR	Q8IZJ4
STUB1	Q9UNE7
CCL2	P13500
MYT1L	Q9UL68
SLITRK1	Q96PX8
CRYAB	P02511
NFIB	O00712
INF2	Q27J81
MMP19	Q99542
NDNF	Q8TB73
NCSTN	Q92542
TNRC6A	Q8NDV7
CALM2	P0DP24
ATL1	Q8WXF7
TM4SF20	Q53R12
RIMS1	Q86UR5
GANAB	Q14697
CDK8	P49336
PITX2	Q99697
APC	P25054
BICC1	Q9H694
LPL	P06858
GPD1L	Q8N335
GABRB3	P28472
RBM20	Q5T481
MYLK2	Q9H1R3
AQP5	P55064
AKAP9	Q99996
TLR2	O60603
GDF3	Q9NR23
TPM1	P09493
ERMARD	Q5T6L9
APOA1	P02647
TBX18	O95935
DHTKD1	Q96HY7
RNF125	Q96EQ8
CNNM2	Q9H8M5
KRT16	P08779
CITED2	Q99967
MUC1	P15941
FLT3	P36888
PLA2G7	Q13093
MVD	P53602
ELOVL5	Q9NYP7
FOXP1	Q9H334
SMARCAD1	Q9H4L7
SEC63	Q9UGP8
INSL3	P51460
SLC2A9	Q9NRM0
KLF11	O14901
CHRND	Q07001
PCSK9	Q8NBP7
NPRL2	Q8WTW4
SLC44A4	Q53GD3
TIA1	P31483
SLC33A1	O00400
GSN	P06396
ALG5	Q9Y673
FLRT3	Q9NZU0
BAX	Q07812
F11	P03951
EIF5A	P63241
CFH	P08603
PRLR	P16471
CLCN3	P51790
IL4R	P24394
PROC	P04070
NFKB1	P19838
MYOZ2	Q9NPC6
AAGAB	Q6PD74
VIM	P08670
COL5A2	P05997
SOX5	P35711
HIVEP2	P31629
GAL	P22466
GAL	Q8N6F7
DIP2B	Q9P265
FOXD3	Q9UJU5
DTNA	Q9Y4J8
TNRC6B	Q9UPQ9
PHOX2B	Q99453
SLC5A2	P31639
SDHAF2	Q9NX18
SLCO2A1	Q92959
TCAP	O15273
PRRT2	Q7Z6L0
PPP2R2B	Q00005
CLEC3B	P05452
KLHL7	Q8IXQ5
TRPM7	Q96QT4
FAM83H	Q6ZRV2
MYRF	Q9Y2G1
PDX1	O00330
PDX1	P52945
PSEN2	P49810
SCN1B	Q07699
PHACTR1	Q9C0D0
GATA2	P23769
KCNC1	P48547
FREM1	Q5H8C1
ATP2B2	P23634
ATP2B2	Q01814
ANG	P03950
PRKCG	P05129
DRD3	P35462
VEGFC	P49767
SNCAIP	Q9Y6H5
NPPA	P01160
KRT3	P12035
YAP1	P46937
SCGB3A2	Q96PL1
HTR1A	P08908
ELOVL1	Q9BW60
ANGPT1	Q15389
SLC17A8	Q8NDX2
BCL11A	Q9H165
GRIA1	P42261
CHIC2	Q9UKJ5
MYL4	P12829
GNAO1	P09471
PLCG2	P16885
LOXL1	Q08397
SYK	P43405
ACTN1	P12814
RAB11B	Q15907
TNNI3K	Q59H18
KDR	P35968
VPS16	Q9H269
ARHGAP31	Q2M1Z3
CALCR	P30988
DCTN1	Q14203
TNFRSF13C	Q96RJ3
ZNF408	Q9H9D4
ARHGAP26	Q9UNA1
GABRB1	P18505
CRYBB3	P26998
EDARADD	Q8WWZ3
NEUROD2	Q15784
PACS2	Q86VP3
SLC5A7	Q9GZV3
PANX1	Q96RD7
HNMT	P50135
LMAN2L	Q9H0V9
CR2	P20023
PRKD1	Q15139
CFTR	P13569
F2	P00734
CFHR5	Q9BXR6
WNT10A	Q9GZT5
SERPINA6	P08185
CCDC50	Q8IVM0
KCNQ2	O43526
MTNR1B	P49286
TENM4	Q6N022
PALLD	Q8WX93
MST1R	Q04912
FDPS	P14324
KRT13	P13646
CDH11	P55287
CSNK2A1	P68400
EEF2	P13639
ZNF292	O60281
FH	P07954
PLCB4	Q15147
TBP	P20226
P4HA2	O15460
A2ML1	A8K2U0
SLC39A14	Q15043
DNM1L	O00429
CACNA1H	O95180
CLRN1	P58418
TRPA1	O75762
KRIT1	O00522
KAT8	Q9H7Z6
GLUD1	P00367
CACNA1I	Q9P0X4
CLCN1	P35523
SFTPA2	Q8IWL1
POU6F2	P78424
RAC3	P60763
RAC3	Q9Y6Q9
TMEM98	Q9Y2Y6
ACVRL1	P37023
CTNNA3	Q9UI47
IVNS1ABP	Q9Y6Y0
MYO6	Q9UM54
CLPX	O76031
IRF2BPL	Q9H1B7
RETN	Q9HD89
INAVA	Q3KP66
EIF2AK2	P19525
HCN2	Q9UL51
RBP4	P02753
NLRP1	Q9C000
ZBTB7A	O95365
PLCD1	P51178
ASH1L	Q9NR48
MTAP	Q13126
APOA5	Q6Q788
GNAT1	P11488
ITGA2B	P08514
COL7A1	Q02388
HEPACAM	Q14CZ8
TBC1D24	Q9ULP9
KCNA5	P22460
APOL4	Q9BPW4
CACNB2	Q08289
PPP1R17	O96001
KRT6A	P02538
ANXA5	P08758
DLST	P36957
CHN1	P15882
TANC2	Q9HCD6
ZFHX3	Q15911
REEP2	Q9BRK0
DIO1	P49895
CACNA1D	Q01668
GJA8	P48165
CADM3	Q8N126
EDN1	P05305
PLAU	P00749
PSTPIP1	O43586
PSEN1	P49768
TMEM127	O75204
PDE8B	O95263
TIE1	P35590
EMILIN1	Q9Y6C2
PROS1	P07225
SFTPC	P11686
CELSR1	Q9NYQ6
GNAI1	P63096
RPE65	Q16518
VHL	P40337
DEPDC5	O75140
PRKCSH	P14314
VSX1	Q9NZR4
TTBK2	Q6IQ55
PER3	P56645
MINPP1	Q9UNW1
FBP2	O00757
FBP2	Q63HM2
NANOS1	Q8WY41
RP9	Q8TA86
ANKRD26	Q9UPS8
MN1	Q10571
ADRB2	P07550
MTMR14	Q8NCE2
SNCB	Q16143
HECW2	Q9P2P5
MCM2	P33993
MCM2	P49736
FUZ	Q9BT04
LRP12	Q9Y561
GLS	O94925
GRIA2	P42262
IL17F	Q96PD4
TEAD1	P28347
PDYN	P01213
EDAR	Q9UNE0
BCO1	Q9HAY6
ZIC1	Q15915
SYCP3	Q8IZU3
DSG1	Q02413
BMP4	P12644
LMX1A	Q8TE12
NIPA1	Q7RTP0
DSP	P15924
VCAN	P13611
GNB2	P62879
PITPNM3	Q9BZ71
AFG3L2	Q9Y4W6
OSMR	Q99650
FASLG	P48023
SPTLC1	O15269
PLG	P00747
SRPX2	O60687
PRODH	O43272
CUL3	Q13618
DCN	P07585
WDR26	Q9H7D7
CRYAA	P02489
IMPG2	Q9BZV3
CARD8	Q9Y2G2
AXIN2	Q9Y2T1
LGR4	Q9BXB1
SLC16A1	P53985
SERPINI1	Q99574
HBG1	P69891
TWIST2	Q8WVJ9
OPCML	Q14982
CFC1	P0CG37
IGF2BP2	Q9Y6M1
TNNT2	P45379
LAMA4	Q16363
JPH2	Q9BR39
MTTP	P55157
GIPC1	O14908
NEXN	Q0ZGT2
TFAP2B	Q92481
RLBP1	P12271
MSX1	P28360
PTPRJ	Q12913
EPO	P01588
EPO	P11678
CRY1	Q16526
SOD1	P00441
CHD1	O14646
DLC1	P63167
DLC1	Q96QB1
DLC1	Q9Y238
KLHL3	Q9UH77
GFI1B	Q5VTD9
KLF6	Q99612
PDGFRA	P16234
CHI3L1	P36222
KRT9	P35527
PRX	Q9BXM0
COL12A1	Q99715
CTSB	P07858
FAT2	Q9NYQ8
SUPT16H	Q9Y5B9
SRGAP1	Q7Z6B7
MAP1B	P46821
GNAI2	P04899
OPLAH	O14841
SPI1	P17947
PIK3CD	O00329
CASP10	Q92851
DHX16	O60231
MRAP2	Q96G30
FOXF1	Q12946
DHX30	Q7L2E3
BEAN1	Q3B7T3
PRPF8	Q6P2Q9
KCNQ3	O43525
OPA1	O60313
SLC36A2	Q495M3
NR4A2	P43354
SLC40A1	Q9NP59
PTPRQ	Q15256
PTPRQ	Q9UMZ3
CYP2C9	P11712
TMEM240	Q5SV17
C9	P02748
CSF3R	Q99062
ABCB4	P21439
CDSN	Q15517
SPAST	Q9UBP0
ATXN10	Q9UBB4
NAA15	Q9BXJ9
KLHL10	Q6JEL2
DHX37	Q8IY37
EFEMP1	Q12805
SFTPA1	Q8IWL2
ZNF687	Q8N1G0
CPT2	P23786
CASQ2	O14958
ZMIZ1	Q9ULJ6
RELA	Q04206
MSH3	P20585
ZEB1	P37275
SPTAN1	Q13813
PAK2	Q13177
LRRC8A	Q8IWT6
CHMP4B	Q9H444
DNAAF4	Q8WXU2
RUNX1	Q01196
ZNF462	Q96JM2
DNAJC5	Q9H3Z4
ASPN	Q9BXN1
ZP3	P21754
NFIA	Q12857
ALG8	Q9BVK2
GPD2	P43304
FBXW7	Q969H0
TUBB3	Q13509
ZFPM2	Q8WW38
SCD5	Q86SK9
SCN3B	Q9NY72
RASA1	P20936
CXCR4	P61073
GJA3	Q9Y6H8
MYO7A	Q13402
C3	P01024
APOA2	P02652
PLA2G2A	P14555
ACVR1	Q04771
SLC2A2	P11168
TRPV3	Q8NET8
GFI1	Q99684
CTLA4	P16410
IRF3	Q14653
PDE6G	P18545
TSC2	P49815
TRIM71	Q2Q1W2
MBD4	O95243
MATR3	P43243
TSC1	Q92574
KCNK4	Q9NYG8
SLC25A11	Q02978
OVOL2	Q9BRP0
TBXT	O15178
ANO5	Q75V66
EDNRA	P25101
RPSA	A0A8I5KQE6
RPSA	P08865
KCNH2	Q12809
SLC12A6	Q9UHW9
TBR1	Q16650
GUCY2D	Q02846
POLD1	P28340
SYNE1	Q8NF91
UBTF	P17480
ZFHX4	Q86UP3
AP2M1	Q96CW1
FLG	P11362
FLG	P20930
FBXO38	Q6PIJ6
RTN4R	Q9BZR6
RAB7A	P51149
F13A1	P00488
HSD11B1	P28845
BCL11B	Q9C0K0
FTL	P02792
IRS1	P35568
STEAP3	Q658P3
KCNMB1	Q16558
SPTA1	P02549
CHRNB2	P17787
HS3ST6	Q96QI5
DLL4	Q9NR61
SLC17A9	Q9BYT1
FOXJ1	Q92949
ZFYVE27	Q5T4F4
HOXD10	P28358
MAPK8IP1	Q9UQF2
ZNF750	Q32MQ0
MTHFR	P42898
TCOF1	Q13428
DLX4	Q92988
RAD54L	P46100
RAD54L	Q92698
PFN1	P07737
A4GALT	Q9NPC4
ATXN2	Q99700
CCM2	Q9BSQ5
ADGRV1	Q8WXG9
LRRK2	Q5S007
CDH15	P55291
ELOVL4	Q9GZR5
VAPB	O95292
PDE6B	P35913
TUBB4B	P68371
CHD5	O00258
CHD5	Q8TD26
CHD5	Q8TDI0
HLA-DRB1	P01911
MYL3	P08590
PTPN1	P18031
CPSF1	Q10570
HSPD1	P10809
XRCC3	O43542
RILPL1	Q5EBL4
ODC1	P11926
NBEA	Q8NFP9
FCGR2A	P12318
LPP	Q93052
MAP3K1	Q13233
ATP1A1	P05023
SGCD	Q92629
PPP2R1A	P30153
CEL	P19835
EFHC1	Q5JVL4
SLC6A2	P23975
AKT3	Q9Y243
MCC	P23508
ACTN4	O43707
ROBO4	Q8WZ75
HTRA1	Q92743
TUBG1	P23258
SETBP1	Q9Y6X0
CARD14	Q9BXL6
CHRNA2	Q15822
GATA3	P23771
TMEM63A	O94886
NOD2	Q9HC29
MEF2C	Q06413
CLDN11	O75508
KDF1	Q8NAX2
PDE10A	Q9Y233
PLN	P26678
HMCN1	Q96RW7
LMBRD2	Q68DH5
GCH1	P30793
SCN4B	Q8IWT1
CRYBB1	P53674
HRG	P04196
SNRPE	P62304
ATAD3A	Q9NVI7
